date,pid,price,regular,promo,label,until
2026-09-16,107096,3.59,3.79,1,-5%,
2026-09-16,153249,2.79,2.85,1,-2% · Prix cassé,
2026-09-16,272054,8.99,9.39,1,-4%,
2026-09-16,288093,2.79,3.79,1,-26%,
2026-09-16,288237,0.59,0.69,1,-14% · Prix cassé,
2026-09-16,288259,5.79,6.79,1,-15%,
2026-09-16,288279,7.49,7.99,1,-6%,
2026-09-16,288319,2.99,3.29,1,-9% · Prix cassé,
2026-09-16,288549,7.49,7.99,1,-6%,
2026-09-16,290039,2.99,3.39,1,-12%,
2026-09-16,290541,2.99,3.99,1,-25%,
2026-09-16,290606,7.79,7.85,1,-1%,
2026-09-16,306247,8.99,9.39,1,-4%,
2026-09-16,342718,0.45,0.50,1,-10%,
2026-09-16,443505,10.99,12.49,1,-12%,
2026-09-16,476946,2.39,2.49,1,-4%,
2026-09-16,509777,6.79,6.99,1,-3%,
2026-09-16,516148,3.49,3.85,1,-9%,
2026-09-16,550443,3.89,4.59,1,-15%,
2026-09-16,564228,6.69,8.69,1,-23%,
2026-09-16,597645,3.59,3.99,1,-10%,
2026-09-16,635148,1.09,1.19,1,-8%,
2026-09-16,669329,9.99,12.99,1,-23%,
2026-09-16,676041,9.84,9.89,1,-1%,
2026-09-16,682957,2.49,2.59,1,-4%,
2026-09-16,683108,1.49,1.99,1,-25% · Prix cassé,
2026-09-16,692737,3.69,3.85,1,-4%,
2026-09-16,696620,2.99,3.19,1,-6%,
2026-09-16,727081,0.99,1.14,1,-13%,
2026-09-16,748752,1.69,1.75,1,-3%,
2026-09-16,155741001,1.69,1.79,1,-6%,
2026-09-16,155741002,1.69,1.79,1,-6%,
2026-09-16,155741003,1.69,1.79,1,-6%,
2026-09-16,155797001,1.55,1.95,1,-21%,
2026-09-16,155797003,1.55,1.95,1,-21%,
2026-09-16,156292001,2.69,2.85,1,-6% · Prix cassé,
2026-09-16,156292002,2.69,2.85,1,-6% · Prix cassé,
2026-09-16,156292003,2.69,2.85,1,-6% · Prix cassé,
2026-09-16,192090001,2.75,2.85,1,-4%,
2026-09-16,192090002,2.75,2.85,1,-4%,
2026-09-16,192090003,2.75,2.85,1,-4%,
2026-09-16,200250002,3.79,3.99,1,-5%,
2026-09-16,200250003,3.79,3.99,1,-5%,
2026-09-16,200250007,3.79,3.99,1,-5%,
2026-09-16,200250010,3.79,3.99,1,-5%,
2026-09-16,200250011,3.79,3.99,1,-5%,
2026-09-16,203715002,3.25,3.59,1,-9%,
2026-09-16,203715003,3.25,3.59,1,-9%,
2026-09-16,271052001,2.45,2.69,1,-9%,
2026-09-16,271052002,2.45,2.69,1,-9%,
2026-09-16,288546001,3.29,3.35,1,-2%,
2026-09-16,290567001,3.59,3.99,1,-10%,
2026-09-16,331216001,0.99,1.99,1,-50%,
2026-09-16,331216002,0.99,1.99,1,-50%,
2026-09-16,445009001,3.29,3.39,1,-3%,
2026-09-16,445009003,3.29,3.39,1,-3%,
2026-09-16,484801001,2.89,3.09,1,-6% · Prix cassé,
2026-09-16,484801002,2.89,3.09,1,-6% · Prix cassé,
2026-09-16,484801003,2.89,3.09,1,-6% · Prix cassé,
2026-09-16,497132001,0.69,0.99,1,-30%,
2026-09-16,497132002,0.69,0.99,1,-30%,
2026-09-16,497132003,0.69,0.99,1,-30%,
2026-09-16,497132004,0.69,0.99,1,-30%,
2026-09-16,524158001,2.35,2.59,1,-9% · Prix cassé,
2026-09-16,524158002,2.35,2.59,1,-9% · Prix cassé,
2026-09-16,539671001,3.15,3.49,1,-10% · Prix cassé,
2026-09-16,547549001,1.49,1.59,1,-6%,
2026-09-16,547549002,1.49,1.59,1,-6%,
2026-09-16,547549004,1.49,1.59,1,-6%,
2026-09-16,547549006,1.49,1.59,1,-6%,
2026-09-16,547549007,1.49,1.59,1,-6%,
2026-09-16,547549008,1.49,1.59,1,-6%,
2026-09-16,547809001,1.55,1.79,1,-13% · Prix cassé,
2026-09-16,547809003,1.55,1.79,1,-13% · Prix cassé,
2026-09-16,562765001,1.75,1.89,1,-7% · Prix cassé,
2026-09-16,562765002,1.75,1.89,1,-7% · Prix cassé,
2026-09-16,593300001,1.99,2.29,1,-13%,
2026-09-16,593300002,1.99,2.29,1,-13%,
2026-09-16,593300003,1.99,2.29,1,-13%,
2026-09-16,618600001,1.15,1.25,1,-8% · Prix cassé,
2026-09-16,618600002,1.15,1.25,1,-8% · Prix cassé,
2026-09-16,628652001,1.99,2.29,1,-13% · Prix cassé,
2026-09-16,628652003,1.99,2.29,1,-13% · Prix cassé,
